video_id,title,description,published_at,view_count,like_count,dislike_count,comment_count,Month
6lEg1Nt7A8A,Eminem - Fortnite Chapter 2 Remix The Finale Performance,"Eminem - Fortnite Chapter 2 Remix The Finale Performance

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords",2024-12-17 17:00:49+00:00,2537522,66914,0,5253,12
t5H_CewqpKA,Eminem - Fuel (feat. JID) [Official Lyric Video],"Eminem - Fuel (feat. JID)
Listen: https://eminem.lnk.to/TDOSSExpanded 

http://eminem.com
https://www.facebook.com/eminem
https://twitter.com/eminem
https://www.instagram.com/eminem

http://shadyrecords.com
https://www.facebook.com/ShadyRecords/
https://twitter.com/shadyrecords
https://www.instagram.com/shadyrecords

#Eminem #JID #Fuel

Music video by Eminem performing Fuel (Lyric Video).© 2024 Marshall B. Mathers III",2024-11-18 17:00:59+00:00,7760356,248047,0,11296,11
ZaK9Wi5ho0o,Eminem - Temporary (feat. Skylar Grey) [Official Music Video],"Eminem - Temporary (feat. Skylar Grey) 
Listen: https://eminem.lnk.to/TDOSSExpanded 

http://eminem.com
https://www.facebook.com/eminem
https://twitter.com/eminem
https://www.instagram.com/eminem

http://shadyrecords.com
https://www.facebook.com/ShadyRecords/
https://twitter.com/shadyrecords
https://www.instagram.com/shadyrecords

#Eminem #Temporary #SkylarGrey 

Music video by Eminem, Skylar Grey performing Temporary.© 2024 Marshall B. Mathers III",2024-10-03 17:00:22+00:00,31190275,1271654,0,59314,10
OYYPnBboGao,Eminem - Somebody Save Me & Houdini (Live from the MTV VMA’s 2024),"‘The Death of Slim Shady (Coup De Grâce)’ Out Now: https://eminem.lnk.to/TDOSS

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #Houdini #SomebodySaveMe",2024-09-19 21:58:32+00:00,6676188,159871,0,6446,9
c2oDpfEACSk,LL COOL J - Murdergram Deux ft. Eminem,"Listen Now: https://LLCoolJ.lnk.to/MurdergramDeux

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords",2024-09-19 20:57:06+00:00,704345,59572,0,1973,9
vx_IMvFkrfA,Eminem - Like My Shit [Official Audio],"Eminem - Like My Shit
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #LikeMyShit",2024-09-13 04:00:50+00:00,2387160,69277,0,4430,9
k1OquBida9s,Eminem - Fuel (Shady Edition) feat. Westside Boogie & GRIP [Official Audio],"Eminem - Fuel (Shady Edition) feat. Westside Boogie & GRIP
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #Fuel",2024-09-13 04:00:29+00:00,3485651,95308,0,7853,9
QnfssT0sxmo,Eminem - Steve Berman (Skit) [Official Audio],"Eminem - Steve Berman (Skit)
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded 

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #SteveBerman",2024-09-13 04:00:20+00:00,401425,14516,0,655,9
Ffm9R18XDdw,Eminem - Kyrie & Luka feat. 2 Chainz [Official Audio],"Eminem - Kyrie & Luka feat. 2 Chainz
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #2Chainz",2024-09-13 04:00:07+00:00,1209666,40682,0,2798,9
xh8qgHrOO1g,MISSING: SLIM SHADY [Expanded Mourner’s Edition Trailer],"MISSING: SLIM SHADY ‼️ Have you seen him? 👀 #TheDeathOfSlimShady Expanded Mourner’s Edition drops this Friday the 13th...

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #FridayThe13th",2024-09-10 19:22:40+00:00,1052403,48787,0,3603,9
Vwa0HenQMi4,Eminem - Somebody Save Me (feat. Jelly Roll) [Official Music Video],"Eminem - Somebody Save Me (feat. Jelly Roll) 
Listen: https://eminem.lnk.to/TDOSSExpanded 
If you need help, you are not alone. Go to: https://BetterHelp.com/eminem 

Directed by: Emil Nava 

http://eminem.com
https://www.facebook.com/eminem
https://twitter.com/eminem
https://www.instagram.com/eminem

http://shadyrecords.com
https://www.facebook.com/ShadyRecords/
https://twitter.com/shadyrecords
https://www.instagram.com/shadyrecords

#Eminem #JellyRoll #SomebodySaveMe #THEDEATHOFSLIMSHADY #COUPDEGRÂCE #ExpandedMournersEdition 

Music video by Eminem performing Somebody Save Me.© 2024 Marshall B. Mathers III",2024-08-21 15:00:07+00:00,34215541,978839,0,44411,8
G1Xjzd97d_E,"Eminem & Dr. Dre - ""Forgot About Dre"" [Live Performance]","Eminem & Dr. Dre - ""Forgot About Dre"" [Live Performance]

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

Director / A camera OP: Tommy Davis @luxuriousthomas 
Producer: Jake River Parker @jakeriverparker 
Exec Producer: Ramy Dance @ramydance 
Production Company: Common People Films @commonpeoplefilms  
Production Manager: Emma Stevens Broyd 
Production Assistant: Erin Sullivan  
A Cam 1st AC: Olly Bingham 
A Cam 2nd AC: Scarlett Gardner 
DOP: Arran Green @arrangreen 
B Cam 1st AC: Toby McKay 
B Cam 2nd AC: Fabienne Piolini-Castle  
C Cam Operator: Jack Maddison 
C Cam 1st AC: Harry Coleman 
D Cam Operator: Taylor Cassar  
E Cam Operator: Dylan Parker 
DIT: Matt Cole 
Editor: Charlie France @charliefrance_videoeditor 
Grader: Cam Sander @cam_sander  
Commissioner: Emily Jeffery @emilymjeffery

#Eminem #DrDre #ForgotAboutDre",2024-07-22 18:00:07+00:00,4875941,137073,0,7138,7
Sugb_SVOO4E,Eminem - Houdini [Live Performance],"Eminem - Houdini

‘The Death of Slim Shady (Coup De Grâce)’ Out Now: https://eminem.lnk.to/TDOSS 

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

Director / A camera OP: Tommy Davis @luxuriousthomas 
Producer: Jake River Parker @jakeriverparker 
Exec Producer: Ramy Dance @ramydance 
Production Company: Common People Films @commonpeoplefilms  
Production Manager: Emma Stevens Broyd 
Production Assistant: Erin Sullivan  
A Cam 1st AC: Olly Bingham 
A Cam 2nd AC: Scarlett Gardner 
DOP: Arran Green @arrangreen 
B Cam 1st AC: Toby McKay 
B Cam 2nd AC: Fabienne Piolini-Castle  
C Cam Operator: Jack Maddison 
C Cam 1st AC: Harry Coleman 
D Cam Operator: Taylor Cassar  
E Cam Operator: Dylan Parker 
DIT: Matt Cole 
Editor: Charlie France @charliefrance_videoeditor 
Grader: Cam Sander @cam_sander  
Commissioner: Emily Jeffery @emilymjeffery
 
#Eminem #Houdini #TheDeathOfSlimShady",2024-07-21 16:00:25+00:00,2895031,126924,0,5905,7
Nekcksk8HuI,Eminem - The Death of Slim Shady (Out Now),"Thank you @YouTubeMusic 
https://music.youtube.com/playlist?list=RDCLAK5uy_k5n4srrEB1wgvIjPNTXS9G1ufE9WQxhnA

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathofSlimShady",2024-07-16 22:39:12+00:00,2209263,160267,0,3106,7
0QvdDX2Q7rI,Eminem - Renaissance [Official Audio],"Eminem - Renaissance 
'The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition' Out Now: https://eminem.lnk.to/TDOSSExpanded

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords

#Eminem #TheDeathOfSlimShady #Renaissance",2024-07-12 04:04:04+00:00,11310678,197171,0,12900,7
